Run ID,Ruleset,Shoe ID,Rounds,Counter Net,Basic Net,Max Bet Opportunities,Max Bets Placed,TC-4 Freq,TC-4 Wins,TC-4 Losses,TC-4 WinRate,TC-3 Freq,TC-3 Wins,TC-3 Losses,TC-3 WinRate,TC-2 Freq,TC-2 Wins,TC-2 Losses,TC-2 WinRate,TC-1 Freq,TC-1 Wins,TC-1 Losses,TC-1 WinRate,TC+0 Freq,TC+0 Wins,TC+0 Losses,TC+0 WinRate,TC+1 Freq,TC+1 Wins,TC+1 Losses,TC+1 WinRate,TC+2 Freq,TC+2 Wins,TC+2 Losses,TC+2 WinRate,TC+3 Freq,TC+3 Wins,TC+3 Losses,TC+3 WinRate,TC+4 Freq,TC+4 Wins,TC+4 Losses,TC+4 WinRate
1,FullHiLoRules,1,13,-70.0,2.0,0,0,0,0,0,,4,0,3,0.0,2,1,0,1.0,3,0,2,0.0,4,1,3,0.25,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,2,13,10.0,6.0,0,0,4,2,1,0.6667,1,0,1,0.0,0,0,0,,2,1,1,0.5,3,3,0,1.0,3,1,2,0.3333,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,3,13,55.0,47.0,0,0,0,0,0,,4,2,1,0.6667,5,3,3,0.5,2,2,0,1.0,1,1,0,1.0,1,1,0,1.0,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,4,13,-15.0,-19.0,0,0,1,0,1,0.0,1,0,1,0.0,1,0,1,0.0,1,1,0,1.0,7,2,2,0.5,2,1,1,0.5,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,5,12,-425.0,-31.0,3,3,0,0,0,,0,0,0,,0,0,0,,4,2,2,0.5,4,2,2,0.5,1,0,1,0.0,0,0,0,,0,0,0,,3,0,3,0.0
1,FullHiLoRules,6,12,0.0,3.0,0,0,2,0,2,0.0,2,0,2,0.0,5,4,1,0.8,1,1,0,1.0,2,1,1,0.5,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,7,12,55.0,12.0,0,0,0,0,0,,0,0,0,,0,0,0,,2,2,0,1.0,3,1,1,0.5,6,4,2,0.6667,1,0,1,0.0,0,0,0,,0,0,0,
1,FullHiLoRules,8,13,5.0,43.0,0,0,2,1,0,1.0,2,1,1,0.5,3,1,1,0.5,4,1,3,0.25,2,1,0,1.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,9,13,155.0,29.0,6,6,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,1,0,1.0,2,1,1,0.5,1,0,1,0.0,2,1,1,0.5,6,4,2,0.6667
1,FullHiLoRules,10,13,-55.0,-30.0,0,0,4,2,2,0.5,2,1,1,0.5,1,0,0,,1,0,1,0.0,3,1,2,0.3333,2,0,2,0.0,0,0,0,,0,0,0,,0,0,0,
1,FullHiLoRules,11,13,-230.0,-19.0,4,4,0,0,0,,0,0,0,,1,1,0,1.0,4,1,3,0.25,2,1,1,0.5,1,0,1,0.0,1,0,1,0.0,0,0,0,,4,1,2,0.3333
1,FullHiLoRules,12,14,-20.0,9.0,0,0,3,1,2,0.3333,0,0,0,,2,2,0,1.0,2,1,1,0.5,5,3,2,0.6,2,0,1,0.0,0,0,0,,0,0,0,,0,0,0,
